example_id                                               | status | run_time        |
-------------------------------------------------------- | ------ | --------------- |
./spec/features/user_creates_an_article_spec.rb[1:1]     | passed | 0.62704 seconds |
./spec/jobs/article_job_spec.rb[1:1:1:1]                 | passed | 0.02925 seconds |
./spec/jobs/article_job_spec.rb[1:1:1:2]                 | passed | 0.00268 seconds |
./spec/models/article_creation_progress_spec.rb[1:1:1]   | passed | 0.03989 seconds |
./spec/models/article_creation_progress_spec.rb[1:1:2:1] | passed | 0.00023 seconds |
./spec/models/article_creation_progress_spec.rb[1:1:3:1] | passed | 0.00021 seconds |
./spec/models/article_creation_progress_spec.rb[1:1:4:1] | passed | 0.00054 seconds |
./spec/models/article_creation_progress_spec.rb[1:1:5:1] | passed | 0.00019 seconds |
./spec/models/article_creation_progress_spec.rb[1:1:6:1] | passed | 0.00021 seconds |
./spec/models/article_creation_progress_spec.rb[1:1:7:1] | passed | 0.00021 seconds |
./spec/models/article_creation_progress_spec.rb[1:1:8:1] | passed | 0.00019 seconds |
./spec/models/article_creation_progress_spec.rb[1:1:9:1] | passed | 0.00019 seconds |
./spec/models/notifier_spec.rb[1:1:1]                    | passed | 0.01098 seconds |
